movie_id,Country Availability
0,Thailand
1,Canada
2,Canada
3,Belgium
3,Netherlands
4,Lithuania
4,Poland
4,France
4,Iceland
4,Italy
4,Spain
4,Greece
4,CzechRepublic
4,Belgium
4,Portugal
4,Canada
4,Hungary
4,Mexico
4,Slovakia
4,Sweden
4,SouthAfrica
4,Netherlands
4,Germany
4,Thailand
4,Turkey
4,Singapore
4,Romania
4,Argentina
4,Israel
4,Switzerland
4,Australia
4,UnitedKingdom
4,Brazil
4,Malaysia
4,India
4,Colombia
4,HongKong
4,Japan
4,SouthKorea
4,UnitedStates
4,Russia
5,Thailand
6,Poland
7,Poland
8,Lithuania
8,Poland
8,France
8,Italy
8,Spain
8,Greece
8,Belgium
8,Portugal
8,Netherlands
8,Germany
8,Switzerland
8,UnitedKingdom
8,Iceland
8,CzechRepublic
9,Lithuania
9,Poland
9,France
9,Italy
9,Spain
9,Greece
9,CzechRepublic
9,Belgium
9,Portugal
9,Hungary
9,Slovakia
9,Netherlands
9,Germany
9,Romania
9,Switzerland
9,UnitedKingdom
9,Iceland
10,Lithuania
10,Poland
10,France
10,Italy
10,Spain
10,Greece
10,CzechRepublic
10,Belgium
10,Portugal
10,Hungary
10,Slovakia
10,Netherlands
10,Germany
10,Romania
10,Switzerland
10,UnitedKingdom
10,Iceland
11,Lithuania
11,Poland
11,France
11,Italy
11,Spain
11,Greece
11,CzechRepublic
11,Belgium
11,Portugal
11,Hungary
11,Slovakia
11,Netherlands
11,Germany
11,Romania
11,Iceland
12,Lithuania
12,Poland
12,France
12,Italy
12,Spain
12,Greece
12,CzechRepublic
12,Belgium
12,Portugal
12,Hungary
12,Slovakia
12,Netherlands
12,Germany
12,Romania
12,Switzerland
12,UnitedKingdom
12,Iceland
13,Lithuania
13,Poland
13,France
13,Italy
13,Spain
13,Greece
13,CzechRepublic
13,Belgium
13,Portugal
13,Hungary
13,Slovakia
13,Netherlands
13,Germany
13,Romania
13,Switzerland
13,UnitedKingdom
13,Iceland
14,Lithuania
14,Poland
14,France
14,Italy
14,Spain
14,Greece
14,CzechRepublic
14,Belgium
14,Portugal
14,Hungary
14,Slovakia
14,Netherlands
14,Germany
14,Romania
14,Switzerland
14,UnitedKingdom
14,Iceland
15,Lithuania
15,Poland
15,France
15,Italy
15,Spain
15,Greece
15,Belgium
15,Portugal
15,Netherlands
15,Germany
15,Iceland
15,CzechRepublic
16,Lithuania
16,Poland
16,France
16,Italy
16,Spain
16,Greece
16,CzechRepublic
16,Belgium
16,Portugal
16,Hungary
16,Slovakia
16,Netherlands
16,Germany
16,Romania
16,Iceland
17,Lithuania
17,Poland
17,France
17,Italy
17,Spain
17,Greece
17,CzechRepublic
17,Belgium
17,Portugal
17,Hungary
17,Slovakia
17,Netherlands
17,Germany
17,Romania
17,Switzerland
17,UnitedKingdom
17,Iceland
18,Lithuania
18,Poland
18,France
18,Italy
18,Spain
18,Greece
18,CzechRepublic
18,Belgium
18,Portugal
18,Hungary
18,Slovakia
18,Netherlands
18,Germany
18,Romania
18,Switzerland
18,UnitedKingdom
18,Iceland
19,Lithuania
19,Poland
19,France
19,Italy
19,Spain
19,Greece
19,CzechRepublic
19,Belgium
19,Portugal
19,Hungary
19,Slovakia
19,Netherlands
19,Germany
19,Romania
19,Switzerland
19,UnitedKingdom
19,Iceland
21,Lithuania
21,Poland
21,France
21,Italy
21,Spain
21,Greece
21,CzechRepublic
21,Belgium
21,Portugal
21,Hungary
21,Slovakia
21,Netherlands
21,Germany
21,Romania
21,Switzerland
21,UnitedKingdom
21,Iceland
22,Lithuania
22,Poland
22,France
22,Italy
22,Spain
22,Greece
22,CzechRepublic
22,Belgium
22,Portugal
22,Hungary
22,Slovakia
22,Netherlands
22,Germany
22,Romania
22,Switzerland
22,UnitedKingdom
22,Iceland
23,Japan
24,Canada
24,Mexico
24,SouthAfrica
24,Thailand
24,Turkey
24,Singapore
24,Argentina
24,Israel
24,Australia
24,Malaysia
24,Brazil
24,Colombia
24,India
24,HongKong
24,Japan
24,UnitedStates
24,Russia
25,Canada
26,Poland
26,CzechRepublic
26,Hungary
26,Slovakia
26,Romania
26,India
27,SouthKorea
28,SouthKorea
29,Japan
30,Japan
31,Japan
32,Japan
