movie_id,Languages
0,Swedish
0,Spanish
1,English
2,English
3,Turkish
4,English
5,Thai
6,Polish
7,Polish
8,Swedish
9,Swedish
9,English
9,German
9,Norwegian
10,Swedish
11,English
12,Scanian
12,Swedish
13,Swedish
13,English
14,Spanish
15,English
16,English
16,Sanskrit
17,English
18,Swedish
19,Swedish
21,Swedish
22,Swedish
23,Japanese
24,Hindi
25,English
26,English
27,Cantonese
27,Mandarin
27,English
28,French
29,Japanese
29,English
30,Japanese
31,Japanese
32,Japanese
33,Japanese
34,Japanese
35,Japanese
35,English
36,Japanese
36,English
37,Japanese
38,Japanese
40,Japanese
41,English
42,English
43,French
44,English
45,English
46,English
46,Italian
47,French
48,French
48,Breton
49,French
49,English
50,English
51,English
52,English
53,English
54,English
54,Cantonese
55,Mandarin
56,English
57,English
58,Korean
59,Korean
60,English
61,Korean
62,Tibetan
63,French
63,Polish
63,Spanish
63,English
64,English
65,Russian
66,English
67,English
68,English
69,English
70,Chinese
71,Korean
72,English
73,English
73,Spanish
74,Korean
75,French
76,Korean
77,Korean
78,Korean
79,Japanese
80,Korean
80,Mandarin
81,Korean
81,English
82,English
83,English
84,English
85,English
86,English
87,English
88,Korean
89,Korean
90,Korean
91,English
92,Korean
93,Cantonese
93,Japanese
93,English
94,English
94,Aboriginal
96,English
96,Spanish
97,English
98,Japanese
99,English
99,German
100,German
100,English
100,Spanish
100,Danish
101,Spanish
102,English
103,English
103,Polish
104,Czech
105,English
106,Japanese
107,English
108,English
109,English
109,Russian
110,English
111,Italian
112,Japanese
114,Japanese
115,Spanish
116,English
117,English
118,English
119,English
119,Ukrainian
119,Russian
120,English
121,German
122,English
123,Romanian
123,English
124,English
124,French
125,None
126,Hindi
127,English
128,English
129,Chinese
130,Japanese
131,French
131,English
132,Russian
132,German
132,Italian
132,Polish
132,English
132,French
133,Chinese
134,French
134,English
135,Polish
136,English
137,Polish
138,Danish
138,English
138,Italian
138,Spanish
139,Danish
140,English
140,Thai
141,Hindi
142,English
143,English
144,English
144,Spanish
145,English
146,English
146,Spanish
147,English
148,English
149,Italian
150,English
150,Cantonese
152,French
153,French
154,French
154,Hungarian
154,Italian
154,SwissGerman
154,Latin
155,English
155,French
155,Latin
155,German
156,Greek
158,English
159,English
160,Danish
161,English
162,Japanese
163,English
163,Vietnamese
164,English
165,English
166,Kannada
167,Luxembourgish
168,English
169,French
169,English
169,Spanish
169,German
170,Japanese
171,Korean
172,Mandarin
173,English
174,Indonesian
175,English
176,German
177,English
177,German
178,Portuguese
179,Polish
180,Danish
180,English
181,Swedish
182,Norwegian
183,English
184,English
184,Spanish
185,Cantonese
185,Mandarin
186,Cantonese
187,Mandarin
188,Cantonese
188,Mandarin
188,English
188,Thai
189,Hindi
190,Korean
190,English
191,English
192,English
193,Mandarin
193,MinNan
194,English
196,Portuguese
196,English
197,Bengali
198,Chinese
199,Mandarin
200,Portuguese
201,English
201,Spanish
202,Swedish
203,Swedish
204,French
204,Arabic
205,English
205,Spanish
206,Swedish
207,None
209,Swedish
210,Swedish
211,None
212,Swedish
213,None
213,Swedish
214,English
215,English
216,Swedish
216,English
216,Yiddish
217,English
218,English
219,None
221,Spanish
221,English
222,Polish
224,English
225,English
226,English
227,English
228,English
229,Japanese
230,Japanese
231,Japanese
232,Japanese
233,English
234,Turkish
234,English
235,Arabic
236,Arabic
237,Cantonese
237,Mandarin
237,English
238,Polish
239,English
239,Spanish
239,German
240,English
241,English
242,English
243,German
244,English
244,Sanskrit
245,English
247,Filipino
250,English
250,Spanish
251,English
251,German
251,Italian
252,English
253,Japanese
254,English
255,English
256,English
258,Turkish
259,English
260,Russian
261,English
261,French
262,English
263,Japanese
264,Japanese
265,Japanese
267,English
268,Czech
269,English
270,Turkish
271,Korean
271,English
272,Malayalam
273,Polish
275,English
276,Russian
277,English
278,Polish
278,English
279,German
280,English
281,German
281,Romanian
282,Czech
283,Romanian
284,English
284,German
285,Romanian
285,Romany
285,English
286,Romanian
287,Romanian
288,Romanian
289,Romanian
290,Romanian
291,Romanian
292,Romanian
293,Romanian
294,Danish
294,English
294,Polish
295,Japanese
295,Mandarin
297,None
298,Mandarin
299,English
300,Hindi
300,English
301,English
302,Mandarin
303,English
304,English
305,Japanese
306,English
306,Sanskrit
307,English
308,English
310,Spanish
311,English
312,English
313,Italian
314,None
314,French
315,English
315,Spanish
315,French
317,Japanese
318,English
319,Mandarin
320,Japanese
321,English
321,Thai
322,French
322,English
323,Russian
324,German
325,English
325,Russian
326,English
326,Spanish
326,AmericanSignLanguage
327,Quechua
327,Spanish
328,English
329,English
330,Italian
330,English
331,English
332,Portuguese
333,English
334,Japanese
335,Japanese
336,English
337,English
338,Dutch
339,English
340,English
341,English
342,Italian
343,Polish
344,Korean
345,English
345,Vietnamese
345,Khmer
346,English
347,MinNan
347,Mandarin
347,English
348,MinNan
348,Mandarin
348,Hokkien
349,Indonesian
350,English
351,English
352,English
352,Spanish
353,Japanese
354,Russian
354,Latin
355,English
356,Mandarin
357,Polish
358,Spanish
360,Italian
361,English
362,Japanese
363,Japanese
364,English
366,Spanish
366,English
367,Japanese
367,English
367,French
368,Russian
369,None
369,English
370,Japanese
371,English
372,English
373,English
374,Russian
375,Russian
376,Indonesian
377,English
378,Tagalog
378,Filipino
379,French
380,English
381,Indonesian
382,Korean
383,English
384,Persian
385,Mandarin
386,English
388,English
389,English
391,Arabic
392,English
393,English
394,English
395,Hindi
396,English
397,English
398,English
399,Spanish
400,Korean
401,English
402,English
403,Japanese
404,English
405,Japanese
406,Japanese
407,Korean
408,English
410,Japanese
410,English
411,English
412,Japanese
413,Japanese
414,English
415,English
416,English
417,German
418,English
419,English
420,English
420,French
421,French
422,French
422,English
423,Dutch
424,English
424,Polish
425,Italian
428,English
428,Russian
429,Indonesian
430,Korean
431,English
432,Basque
432,English
432,Spanish
433,English
434,English
435,English
436,Hindi
436,Japanese
437,English
438,English
439,English
439,Yiddish
439,Hebrew
440,English
441,English
442,English
443,French
443,English
443,Russian
443,German
444,English
445,English
446,English
447,Hindi
448,Urdu
448,Hindi
449,Hindi
450,Hindi
451,English
452,English
453,Japanese
454,Japanese
455,Japanese
456,German
456,Italian
457,Japanese
458,Chinese
459,English
459,Arabic
460,English
461,English
462,English
463,English
463,Spanish
464,English
465,Thai
466,Mandarin
466,MinNan
467,French
468,English
469,Chinese
471,Italian
471,English
471,French
472,Cantonese
473,English
474,Japanese
475,English
476,Japanese
477,English
478,Japanese
479,Cantonese
479,English
479,Mandarin
480,Cantonese
480,Mandarin
481,Japanese
482,Mandarin
482,Cantonese
482,English
483,Spanish
483,Gallegan
483,Latin
484,Japanese
485,Korean
486,English
487,English
489,Swedish
489,Finnish
490,Japanese
491,Malay
492,Korean
493,Korean
494,English
495,Chinese
495,Cantonese
497,English
497,Spanish
497,French
497,Russian
498,Japanese
499,Japanese
500,English
501,English
501,Latin
502,English
503,Indonesian
504,English
505,Spanish
505,German
506,Mandarin
507,German
508,English
509,Dutch
510,English
511,English
512,English
513,English
514,English
514,Dutch
514,Romanian
515,English
516,English
517,English
518,English
519,English
520,Japanese
521,Japanese
522,Swedish
522,Norwegian
522,German
522,English
523,English
524,English
525,English
526,English
527,English
528,Spanish
528,English
529,Japanese
529,English
530,Japanese
532,English
533,Tagalog
533,Filipino
533,SignLanguages
534,Hindi
535,Russian
535,Georgian
536,English
537,Spanish
538,English
539,English
540,English
540,Japanese
541,Indonesian
542,English
543,Japanese
544,English
545,Mandarin
545,English
545,MinNan
546,Chinese
546,Tagalog
546,Filipino
547,Indonesian
548,Indonesian
550,English
550,Spanish
550,Japanese
550,Russian
550,Chinese
551,Korean
552,Korean
553,English
554,Korean
555,English
555,Greek
555,German
555,Latin
556,Korean
557,Mandarin
558,Japanese
559,English
560,English
561,English
562,Czech
562,German
563,Korean
564,English
565,Korean
566,English
567,Korean
567,Filipino
567,English
568,English
570,English
570,Spanish
571,Tamil
573,English
574,English
574,Persian
575,English
576,Malay
576,English
576,Mandarin
577,Malay
577,Tamil
577,English
577,Cantonese
577,SignLanguages
578,English
579,English
580,English
581,Spanish
582,German
583,Dutch
584,English
585,Filipino
585,Tagalog
586,Filipino
586,Tagalog
587,Indonesian
589,English
590,English
591,English
592,Zulu
592,English
592,SouthernSotho
592,Tswana
593,French
594,English
595,Russian
596,Italian
596,English
596,Portuguese
597,English
598,English
599,English
600,English
601,Inuktitut
601,English
602,Korean
604,English
604,Spanish
605,English
606,English
607,Turkish
608,Turkish
609,English
610,Polish
611,English
613,Japanese
614,Filipino
614,Tagalog
614,English
615,Danish
616,Danish
618,English
619,English
620,French
621,English
622,English
623,Dutch
624,Dutch
625,Dutch
626,Korean
627,Indonesian
628,English
629,Turkish
630,Quechua
630,Spanish
631,Turkish
632,Turkish
633,Turkish
634,English
635,Hindi
636,Italian
638,English
639,English
640,English
641,English
642,Turkish
642,English
643,Turkish
644,Turkish
645,English
646,English
647,English
